ID,TIME,FEEDBACK,N_FIGURES,TRIAL,RM,SELECTED,LATENCY,ACCURACY
AG2402MALE20,120,0,2,experiment,50,D2,41.1070183,0
AG2402MALE20,120,0,4,experiment,87,D4,44.9016042,0
AG2402MALE20,120,0,2,experiment,0,D0,25.2627011,0
AJ0710FEMALE24,150,1,2,training,0,D0,,0
AJ0710FEMALE24,150,1,2,training,100,D5,,1
AJ0710FEMALE24,120,0,2,experiment,,NO,,0
AJ0710FEMALE24,120,0,2,experiment,75,D4,24.2916277,0
AJ0710FEMALE24,120,0,2,experiment,100,D5,75.0516,1
AJ0710FEMALE24,120,0,4,experiment,25,D2,60.8710566,0
AJ0710FEMALE24,120,0,3,experiment,100,D5,64.7734966,1
AJ0710FEMALE24,120,0,4,experiment,25,D2,33.3648086,0
AJ0710FEMALE24,120,0,3,experiment,75,D3,82.0026677,0
AJ0710FEMALE24,120,0,4,experiment,12,D1,78.6557211,0
AJ0710FEMALE24,120,0,3,experiment,16,D1,67.4542824,0
AJ0710FEMALE24,120,0,4,experiment,100,D5,80.7530351,1
AJ0710FEMALE24,120,0,3,experiment,100,D5,86.4345024,1
AJ0710FEMALE24,120,0,3,experiment,100,D5,97.7137106,1
AJ0710FEMALE24,120,0,2,experiment,50,D2,82.4549845,0
AJ0710FEMALE24,120,0,4,experiment,100,D5,103.916911,1
AJ0710FEMALE24,120,0,2,experiment,100,D5,63.3783608,1
AJ0710FEMALE24,120,0,4,experiment,87,D4,73.0023758,0
AJ0710FEMALE24,120,0,2,experiment,63,D3,56.5862528,0
AJ0710FEMALE24,120,0,3,experiment,100,D5,92.5535583,1
AJ1204MALE20,150,1,2,training,25,D1,,0
AJ1204MALE20,150,1,2,training,25,D1,,0
AJ1204MALE20,120,0,2,experiment,50,D2,51.7508559,0
AJ1204MALE20,120,0,4,experiment,87,D4,22.7013765,0
AJ1204MALE20,120,0,3,experiment,75,D3,39.5764475,0
AJ1204MALE20,120,0,2,experiment,25,D1,26.2337218,0
AJ1204MALE20,120,0,3,experiment,83,D4,11.7435386,0
AJ1204MALE20,120,0,2,experiment,0,D0,,0
AJ1204MALE20,120,0,3,experiment,16,D1,,0
AJ1204MALE20,120,0,2,experiment,75,D4,41.5479077,0
AJ1204MALE20,120,0,4,experiment,81,D3,54.8207261,0
AJ1204MALE20,120,0,4,experiment,81,D3,29.2580609,0
AJ1204MALE20,120,0,4,experiment,81,D3,34.3481186,0
AJ1204MALE20,120,0,2,experiment,100,D5,49.7964722,1
AJ1204MALE20,120,0,4,experiment,100,D5,17.4847577,1
AJ1204MALE20,120,0,3,experiment,100,D5,43.3164951,1
AJ1204MALE20,120,0,2,experiment,25,D1,88.4233794,0
AJ1204MALE20,120,0,3,experiment,100,D5,21.4075567,1
AJ1204MALE20,120,0,3,experiment,100,D5,51.1808175,1
AJ1204MALE20,120,0,4,experiment,100,D5,36.2377647,1
AK0111FEMALE34,150,1,2,training,50,D2,,0
AK0111FEMALE34,150,1,2,training,50,D2,,0
AK0111FEMALE34,120,0,4,experiment,100,D5,105.728586,1
AK0111FEMALE34,120,0,2,experiment,100,D5,104.74569,1
AK0111FEMALE34,120,0,2,experiment,100,D5,100.145076,1
AK0111FEMALE34,120,0,3,experiment,83,D4,54.7202433,0
AK0111FEMALE34,120,0,4,experiment,100,D5,55.2747578,1
AK0111FEMALE34,120,0,2,experiment,25,D1,83.842866,0
AK0111FEMALE34,120,0,2,experiment,25,D1,71.4998151,0
AK0111FEMALE34,120,0,2,experiment,63,D3,56.9652073,0
AK0111FEMALE34,120,0,3,experiment,100,D5,96.8343784,1
AK0111FEMALE34,120,0,2,experiment,25,D1,71.3996789,0
AK0111FEMALE34,120,0,3,experiment,100,D5,42.6203018,1
AK0111FEMALE34,120,0,3,experiment,100,D5,49.9003443,1
AK0111FEMALE34,120,0,4,experiment,100,D5,92.9437105,1
AK0111FEMALE34,120,0,4,experiment,100,D5,105.133025,1
AK0111FEMALE34,120,0,4,experiment,25,D2,66.484295,0
AK0111FEMALE34,120,0,4,experiment,81,D3,82.8674718,0
AK0111FEMALE34,120,0,3,experiment,100,D5,63.2183839,1
AK0111FEMALE34,120,0,3,experiment,0,D0,76.6348422,0
AK0208FEMALE21,150,1,2,training,75,D4,,0
AK0208FEMALE21,150,1,2,training,100,D5,,1
AK0208FEMALE21,120,0,2,experiment,100,D5,105.810077,1
AK0208FEMALE21,120,0,3,experiment,83,D4,72.2673051,0
AK0208FEMALE21,120,0,2,experiment,100,D5,58.6224054,1
AK0208FEMALE21,120,0,4,experiment,100,D5,77.4478604,1
AK0208FEMALE21,120,0,4,experiment,100,D5,40.6916435,1
AK0208FEMALE21,120,0,2,experiment,100,D5,27.4183947,1
AK0208FEMALE21,120,0,4,experiment,87,D4,26.866256,0
AK0208FEMALE21,120,0,3,experiment,16,D1,35.7315533,0
AK0208FEMALE21,120,0,4,experiment,81,D3,28.9092695,0
AK0208FEMALE21,120,0,2,experiment,100,D5,42.0656404,1
AK0208FEMALE21,120,0,3,experiment,100,D5,68.4704661,1
AK0208FEMALE21,120,0,3,experiment,75,D3,46.7022108,0
AK0208FEMALE21,120,0,4,experiment,100,D5,63.5795469,1
AK0208FEMALE21,120,0,3,experiment,100,D5,41.3579912,1
AK0208FEMALE21,120,0,2,experiment,50,D2,46.6712518,0
AK0208FEMALE21,120,0,4,experiment,100,D5,60.1160852,1
AK0208FEMALE21,120,0,3,experiment,75,D3,27.649881,0
AK0208FEMALE21,120,0,2,experiment,100,D5,29.8321841,1
AK1103MALE20,150,1,2,training,,NO,,0
AK1103MALE20,150,1,2,training,,NO,,0
AK1103MALE20,120,0,3,experiment,100,D5,34.6831064,1
AK1103MALE20,120,0,2,experiment,63,D3,98.442502,0
AK1103MALE20,120,0,3,experiment,,NO,,0
AK1103MALE20,120,0,4,experiment,100,D5,28.6844848,1
AK1103MALE20,120,0,3,experiment,33,D2,53.6982379,0
AK1103MALE20,120,0,2,experiment,100,D5,41.0925275,1
AK1103MALE20,120,0,2,experiment,75,D4,90.649895,0
AK1103MALE20,120,0,4,experiment,,NO,,0
AK1103MALE20,120,0,4,experiment,,NO,,0
AK1103MALE20,120,0,4,experiment,,NO,,0
AK1103MALE20,120,0,4,experiment,87,D4,93.5974235,0
AK1103MALE20,120,0,3,experiment,100,D5,61.6176759,1
AK1103MALE20,120,0,3,experiment,83,D4,53.841608,0
AK1103MALE20,120,0,3,experiment,,NO,,0
AK1103MALE20,120,0,2,experiment,,NO,,0
AK1103MALE20,120,0,2,experiment,50,D2,53.46632,0
AK1103MALE20,120,0,2,experiment,50,D2,28.8560574,0
AK1103MALE20,120,0,4,experiment,100,D5,28.4808676,1
AK2102MALE20,150,1,2,training,50,D2,,0
AK2102MALE20,150,1,2,training,100,D5,,1
AK2102MALE20,120,0,3,experiment,,NO,,0
AK2102MALE20,120,0,4,experiment,,NO,,0
AK2102MALE20,120,0,3,experiment,,NO,,0
AK2102MALE20,120,0,3,experiment,,NO,,0
AK2102MALE20,120,0,4,experiment,100,D5,60.2529375,1
AK2102MALE20,120,0,4,experiment,,NO,,0
AK2102MALE20,120,0,3,experiment,100,D5,81.5029045,1
AK2102MALE20,120,0,2,experiment,,NO,,0
AK2102MALE20,120,0,2,experiment,100,D5,84.4884112,1
AK2102MALE20,120,0,2,experiment,50,D2,59.7543007,0
AK2102MALE20,120,0,4,experiment,100,D5,67.6361864,1
AK2102MALE20,120,0,4,experiment,100,D5,48.307738,1
AK2102MALE20,120,0,4,experiment,,NO,,0
AK2102MALE20,120,0,3,experiment,100,D5,36.6082483,1
AK2102MALE20,120,0,2,experiment,100,D5,18.5442767,1
AK2102MALE20,120,0,2,experiment,0,D0,56.4829435,0
AK2102MALE20,120,0,3,experiment,100,D5,56.5498207,1
AK2102MALE20,120,0,2,experiment,100,D5,87.2453154,1
AK2506FEMALE22,150,1,2,training,75,D4,,0
AK2506FEMALE22,150,1,2,training,0,D0,,0
AK2506FEMALE22,120,0,3,experiment,16,D1,117.040474,0
AK2506FEMALE22,120,0,3,experiment,100,D5,79.0556576,1
AK2506FEMALE22,120,0,2,experiment,25,D1,80.0596251,0
AK2506FEMALE22,120,0,3,experiment,33,D2,83.606293,0
AK2506FEMALE22,120,0,2,experiment,,NO,,0
AK2506FEMALE22,120,0,2,experiment,63,D3,109.07173,0
AK2506FEMALE22,120,0,4,experiment,87,D4,109.868691,0
AK2506FEMALE22,120,0,4,experiment,81,D3,99.2174067,0
AK2506FEMALE22,120,0,3,experiment,83,D4,93.6078942,0
AK2506FEMALE22,120,0,2,experiment,50,D2,60.9882447,0
AK2506FEMALE22,120,0,2,experiment,0,D0,47.230928,0
AK2506FEMALE22,120,0,2,experiment,100,D5,64.4904347,1
AK2506FEMALE22,120,0,3,experiment,100,D5,24.9130726,1
AK2506FEMALE22,120,0,4,experiment,87,D4,44.7102484,0
AK2506FEMALE22,120,0,3,experiment,33,D2,35.3219776,0
AK2506FEMALE22,120,0,4,experiment,25,D2,40.8096636,0
AK2506FEMALE22,120,0,4,experiment,81,D3,65.8825556,0
AK2506FEMALE22,120,0,4,experiment,0,D0,34.0564951,0
AK2611MALE28,150,1,2,training,0,D0,,0
AK2611MALE28,150,1,2,training,100,D5,,1
AK2611MALE28,120,0,4,experiment,,NO,,0
AK2611MALE28,120,0,4,experiment,100,D5,72.9513458,1
AK2611MALE28,120,0,3,experiment,0,D0,100.0536,0
AK2611MALE28,120,0,2,experiment,50,D2,90.0620565,0
AK2611MALE28,120,0,3,experiment,83,D4,30.6392852,0
AK2611MALE28,120,0,4,experiment,81,D3,108.416292,0
AK2611MALE28,120,0,3,experiment,100,D5,26.4331704,1
AK2611MALE28,120,0,4,experiment,87,D4,89.2038643,0
AK2611MALE28,120,0,2,experiment,63,D3,95.2099689,0
AK2611MALE28,120,0,3,experiment,16,D1,107.53273,0
